,teleplay_id,name,rating
0,32281,Kimi no Na wa.,10.0
1,28977,Gintama°,9.757839644276117
2,9969,Gintama&#039;,9.74519061635272
3,32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.689195469181064
4,11061,Hunter x Hunter (2011),9.471896294710755
5,820,Ginga Eiyuu Densetsu,9.20060304793195
6,15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.186123443737992
7,15417,Gintama&#039;: Enchousen,9.027606236937892
8,28851,Koe no Katachi,9.014426530672324
9,918,Gintama,8.97693721365731
10,28891,Haikyuu!! Second Season,8.86953580573424
11,24701,Mushishi Zoku Shou 2nd Season,8.697011624621103
12,263,Hajime no Ippo,8.648736228602083
13,21939,Mushishi Zoku Shou,8.470784515449807
14,457,Mushishi,8.454023490942003
15,245,Great Teacher Onizuka,8.44047958186702
16,5258,Hajime no Ippo: New Challenger,8.431194985591443
17,31757,Kizumonogatari II: Nekketsu-hen,8.429511867773831
18,19,Monster,8.265952162348794
19,22135,Ping Pong The Animation,8.263187787037683
20,21329,Mushishi Special: Hihamukage,8.243629526874782
21,7785,Yojouhan Shinwa Taikei,8.213525171137183
22,30709,Kamisama Hajimemashita: Kako-hen,8.209875761798143
23,6114,Rainbow: Nisha Rokubou no Shichinin,8.205461620979198
24,31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.178536784906521
25,5300,Zoku Natsume Yuujinchou,8.143083456930334
26,24415,Kuroko no Basket 3rd Season,8.100112368563712
27,21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.09146344039508
28,26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8.088037035363886
29,7472,Gintama Movie: Shinyaku Benizakura-hen,8.07808761180042
30,777,Hellsing Ultimate,8.064865551062217
31,22535,Kiseijuu: Sei no Kakuritsu,8.033453893522848
32,12431,Uchuu Kyoudai,8.012998301501991
33,28805,Bakemono no Ko,7.997869430216362
34,16894,Kuroko no Basket 2nd Season,7.994584708992881
35,5028,Major S5,7.9828217913860176
36,801,Ghost in the Shell: Stand Alone Complex 2nd GIG,7.977249640204473
37,17389,Kingdom 2nd Season,7.970607577404548
38,18617,Girls und Panzer der Film,7.902408924147108
39,32182,Mob Psycho 100,7.896631392214325
40,877,Nana,7.894135051030684
41,2251,Baccano!,7.888383095679435
42,24687,Mushishi Zoku Shou: Odoro no Michi,7.8881775325834695
43,16498,Shingeki no Kyojin,7.875485179728363
44,5941,Cross Game,7.853342784509065
45,30346,Doukyuusei (Movie),7.8425460468753005
46,12029,Uchuu Senkan Yamato 2199,7.8362155042190675
47,14719,JoJo no Kimyou na Bouken (TV),7.829650937576051
